female,line,treatment,pop,lifespan
1,M239,single,wild,17
2,M239,rival,wild,49
3,M315,single,wild,58
4,M315,rival,wild,61
5,M395,single,wild,66
6,M395,rival,wild,22
7,M596,single,wild,94
8,M596,rival,wild,94
9,M703,single,wild,34
10,M703,rival,wild,50
11,M900,single,wild,51
12,M900,rival,wild,75
13,M239,single,wild,26
14,M239,rival,wild,19
15,M315,single,wild,18
16,M315,rival,wild,59
17,M395,single,wild,57
18,M395,rival,wild,49
19,M596,single,wild,66
20,M596,rival,wild,83
21,M703,single,wild,69
22,M703,rival,wild,15
23,M900,single,wild,18
24,M900,rival,wild,79
25,M239,single,wild,51
26,M239,rival,wild,19
27,M315,single,wild,51
28,M315,rival,wild,27
29,M395,single,wild,65
30,M395,rival,wild,69
31,M596,single,wild,17
32,M596,rival,wild,16
33,M703,single,wild,20
34,M703,rival,wild,49
35,M900,single,wild,86
36,M900,rival,wild,17
37,M239,single,wild,49
38,M239,rival,wild,50
39,M315,single,wild,65
40,M315,rival,wild,79
41,M395,single,wild,79
42,M395,rival,wild,18
43,M596,single,wild,28
44,M596,rival,wild,47
45,M703,single,wild,66
46,M703,rival,wild,20
47,M900,single,wild,78
48,M900,rival,wild,50
49,M239,single,wild,17
50,M239,rival,wild,49
51,M315,single,wild,46
52,M315,rival,wild,23
53,M395,single,wild,57
54,M395,rival,wild,33
55,M596,single,wild,20
56,M596,rival,wild,60
57,M703,single,wild,58
58,M703,rival,wild,24
59,M900,single,wild,57
60,M900,rival,wild,59
61,M239,single,wild,83
62,M239,rival,wild,47
63,M315,single,wild,66
64,M315,rival,wild,19
65,M395,single,wild,95
66,M395,rival,wild,7
67,M596,single,wild,93
68,M596,rival,wild,59
69,M703,single,wild,83
70,M703,rival,wild,45
71,M900,single,wild,79
72,M900,rival,wild,49
73,M239,single,wild,51
74,M239,rival,wild,69
75,M315,single,wild,29
76,M315,rival,wild,23
77,M395,single,wild,99
78,M395,rival,wild,69
79,M596,single,wild,67
80,M596,rival,wild,61
81,M703,single,wild,26
82,M703,rival,wild,89
83,M900,single,wild,15
84,M900,rival,wild,28
85,M239,single,wild,47
86,M239,rival,wild,22
87,M315,single,wild,24
88,M315,rival,wild,23
89,M395,single,wild,28
90,M395,rival,wild,59
91,M596,single,wild,11
92,M596,rival,wild,82
93,M703,single,wild,64
94,M703,rival,wild,58
95,M900,single,wild,17
96,M900,rival,wild,67
97,M239,single,wild,51
98,M239,rival,wild,16
99,M315,single,wild,49
100,M315,rival,wild,23
101,M395,single,wild,61
102,M395,rival,wild,49
103,M596,single,wild,51
104,M596,rival,wild,7
105,M703,single,wild,79
106,M703,rival,wild,56
107,M900,single,wild,19
108,M900,rival,wild,28
109,M239,single,wild,49
110,M239,rival,wild,34
111,M315,single,wild,7
112,M315,rival,wild,22
113,M395,single,wild,56
114,M395,rival,wild,51
115,M596,single,wild,77
116,M596,rival,wild,41
117,M703,single,wild,49
118,M703,rival,wild,58
119,M900,single,wild,76
120,M900,rival,wild,61
121,M239,single,iv,15
122,M239,rival,iv,32
123,M315,single,iv,26
124,M315,rival,iv,22
125,M395,single,iv,67
126,M395,rival,iv,50
127,M596,single,iv,17
128,M596,rival,iv,29
129,M703,single,iv,13
130,M703,rival,iv,16
131,M900,single,iv,19
132,M900,rival,iv,18
133,M239,single,iv,19
134,M239,rival,iv,34
135,M315,single,iv,61
136,M315,rival,iv,23
137,M395,single,iv,29
138,M395,rival,iv,29
139,M596,single,iv,26
140,M596,rival,iv,18
141,M703,single,iv,26
142,M703,rival,iv,26
143,M900,single,iv,43
144,M900,rival,iv,16
145,M239,single,iv,16
146,M239,rival,iv,37
147,M315,single,iv,22
148,M315,rival,iv,50
149,M395,single,iv,37
150,M395,rival,iv,31
151,M596,single,iv,49
152,M596,rival,iv,5
153,M703,single,iv,6
154,M703,rival,iv,49
155,M900,single,iv,15
156,M900,rival,iv,35
157,M239,single,iv,37
158,M239,rival,iv,21
159,M315,single,iv,12
160,M315,rival,iv,20
161,M395,single,iv,31
162,M395,rival,iv,31
163,M596,single,iv,34
164,M596,rival,iv,25
165,M703,single,iv,31
166,M703,rival,iv,33
167,M900,single,iv,40
168,M900,rival,iv,22
169,M239,single,iv,45
170,M239,rival,iv,50
171,M315,single,iv,7
172,M315,rival,iv,7
173,M395,single,iv,21
174,M395,rival,iv,34
175,M596,single,iv,21
176,M596,rival,iv,8
177,M703,single,iv,6
178,M703,rival,iv,5
179,M900,single,iv,33
180,M900,rival,iv,33
181,M239,single,iv,17
182,M239,rival,iv,11
183,M315,single,iv,20
184,M315,rival,iv,32
185,M395,single,iv,6
186,M395,rival,iv,14
187,M596,single,iv,56
188,M596,rival,iv,19
189,M703,single,iv,26
190,M703,rival,iv,21
191,M900,single,iv,22
192,M900,rival,iv,22
193,M239,single,iv,36
194,M239,rival,iv,12
195,M315,single,iv,6
196,M315,rival,iv,22
197,M395,single,iv,42
198,M395,rival,iv,17
199,M596,single,iv,23
200,M596,rival,iv,23
201,M703,single,iv,17
202,M703,rival,iv,4
203,M900,single,iv,17
204,M900,rival,iv,33
205,M239,single,iv,11
206,M239,rival,iv,23
207,M315,single,iv,36
208,M315,rival,iv,5
209,M395,single,iv,15
210,M395,rival,iv,21
211,M596,single,iv,22
212,M596,rival,iv,5
213,M703,single,iv,11
214,M703,rival,iv,15
215,M900,single,iv,23
216,M900,rival,iv,5
217,M239,single,iv,41
218,M239,rival,iv,26
219,M315,single,iv,6
220,M315,rival,iv,21
221,M395,single,iv,17
222,M395,rival,iv,19
223,M596,single,iv,9
224,M596,rival,iv,23
225,M703,single,iv,6
226,M703,rival,iv,4
227,M900,single,iv,41
228,M900,rival,iv,33
229,M239,single,iv,15
230,M239,rival,iv,50
231,M315,single,iv,54
232,M315,rival,iv,4
233,M395,single,iv,23
234,M395,rival,iv,22
235,M596,single,iv,26
236,M596,rival,iv,14
237,M703,single,iv,30
238,M703,rival,iv,6
239,M900,single,iv,32
240,M900,rival,iv,12