mean,treatment,day,colour,sd,linetype
59.46667,rival,4,black,2.320075,solid
54.56667,rival,6,black,1.870884,solid
102.75862,rival,8,black,2.082002,solid
130.82759,rival,10,black,3.008471,solid
114.56897,rival,12,black,4.152136,solid
110.22414,rival,14,black,4.320637,solid
103.44643,rival,16,black,5.057649,solid
76.69231,rival,18,black,4.049518,solid
75.10204,rival,20,black,4.890053,solid
69.15555556,rival,22,black,5.375398,solid
54.88333,single,4,black,2.120533,solid
49.65,single,6,black,2.427692,solid
99.88136,single,8,black,2.579885,solid
122.23729,single,10,black,3.647801,solid
113.60345,single,12,black,4.937782,solid
98.2931,single,14,black,5.159232,solid
97.25,single,16,black,5.900597,solid
89.80392,single,18,black,3.984383,solid
90.45652,single,20,black,4.363297,solid
76.55319149,single,22,black,4.404988,solid
95.88333,single2,4,grey,2.626472,dashed
109.7037,single2,6,grey,4.153218,dashed
99.73585,single2,8,grey,5.356598,dashed
104.66,single2,10,grey,3.780682,dashed
82,single2,12,grey,5.253517,dashed
65.86364,single2,14,grey,5.812758,dashed
56.81579,single2,16,grey,5.807835,dashed
47.38889,single2,18,grey,6.289356,dashed
35.57576,single2,20,grey,6.488485,dashed
30.66667,single2,22,grey,6.885097,dashed
102.24138,rival2,4,grey,2.157769,dashed
116.21569,rival2,6,grey,3.927811,dashed
101.93878,rival2,8,grey,4.596787,dashed
85.27083,rival2,10,grey,5.015114,dashed
80,rival2,12,grey,5.444139,dashed
58.72727,rival2,14,grey,5.831619,dashed
51.975,rival2,16,grey,6.588985,dashed
30.26316,rival2,18,grey,4.907347,dashed
29.15625,rival2,20,grey,5.482764,dashed
25.5,rival2,22,grey,5.864911,dashed